"the_geom","OBJECTID_1","PARK","PARK_NO","FACILITY_N","FACILITY_T","X_COORD","Y_COORD","GISOBJID"
"POINT (-87.59422008585665 41.79619933283384)","2,787","NICHOLS (JOHN FOUNTAIN)","277","BASEBALL JR/SOFTBALL","OUTDOOR","-87.59422009","41.79619933","3,431"
"POINT (-87.59389464693501 41.79741265128557)","2,788","NICHOLS (JOHN FOUNTAIN)","277","PLAYGROUND","OUTDOOR","-87.59389465","41.79741265","3,432"
"POINT (-87.5946126188243 41.796246256828724)","2,789","NICHOLS (JOHN FOUNTAIN)","277","PLAYGROUND","OUTDOOR","-87.59461262","41.79624626","3,433"
"POINT (-87.59452873101182 41.79773862145832)","2,790","NICHOLS (JOHN FOUNTAIN)","277","TENNIS COURT","OUTDOOR","-87.59452873","41.79773862","3,434"
"POINT (-87.59469930048044 41.79773971833332)","2,791","NICHOLS (JOHN FOUNTAIN)","277","TENNIS COURT","OUTDOOR","-87.5946993","41.79773972","3,435"
"POINT (-87.72351211104022 41.861046005549525)","2,792","NINEBARK","355","PLAYGROUND","OUTDOOR","-87.72351211","41.86104601","3,436"
"POINT (-87.7234432698368 41.861099657109136)","2,793","NINEBARK","355","SPRAY FEATURE","OUTDOOR","-87.72344327","41.86109966","3,437"
"POINT (-87.6532581519425 41.93058665922899)","2,794","NOETHLING (GRACE)","425","DOG FRIENDLY AREA","OUTDOOR","-87.65325815","41.93058666","3,438"
"POINT (-87.78831304382385 41.79796430283567)","2,795","NORMANDY","1,054","BASKETBALL COURT","OUTDOOR","-87.78831304","41.7979643","3,439"
"POINT (-87.788720423784 41.79863376070984)","2,796","NORMANDY","1,054","FOOTBALL/SOCCER COMBO FLD","OUTDOOR","-87.78872042","41.79863376","3,440"
"POINT (-87.78903060260212 41.79819694644273)","2,797","NORMANDY","1,054","BASEBALL JR/SOFTBALL","OUTDOOR","-87.7890306","41.79819695","3,441"
"POINT (-87.78897233484562 41.79793726513004)","2,798","NORMANDY","1,054","PLAYGROUND","OUTDOOR","-87.78897233","41.79793727","3,442"
"POINT (-87.7884964449202 41.79796517281161)","2,799","NORMANDY","1,054","VOLLEYBALL","OUTDOOR","-87.78849644","41.79796517","3,443"
"POINT (-87.74214106348508 41.97331631357718)","2,800","NORTH MAYFAIR","90","PLAYGROUND","OUTDOOR","-87.74214106","41.97331631","3,444"
"POINT (-87.72433842028687 41.98798515851735)","2,801","NORTH PARK NATURE CENTER","533","NATURE CENTER","SPECIAL","-87.72433842","41.98798516","3,445"
