"the_geom","OBJECTID_1","PARK","PARK_NO","FACILITY_N","FACILITY_T","X_COORD","Y_COORD","GISOBJID"
"POINT (-87.59324466047684 41.805541873013375)","376","KENWOOD COMM.","1,010","COMMUNITY GARDEN","OUTDOOR","-87.59324466","41.80554187","2,887"
"POINT (-87.59354046393032 41.80444802491794)","377","KENWOOD COMM.","1,010","BASEBALL JR/SOFTBALL","OUTDOOR","-87.59354046","41.80444802","2,889"
"POINT (-87.59242467683113 41.8047058610228)","378","KENWOOD COMM.","1,010","BASEBALL JR/SOFTBALL","OUTDOOR","-87.59242468","41.80470586","2,890"
"POINT (-87.59356738131824 41.80570045170617)","379","KENWOOD COMM.","1,010","PLAYGROUND","OUTDOOR","-87.59356738","41.80570045","2,891"
"POINT (-87.59285192146966 41.805541242653284)","380","KENWOOD COMM.","1,010","SPORT ROLLER COURT","OUTDOOR","-87.59285192","41.80554124","2,892"
"POINT (-87.59293372810588 41.805870845579946)","381","KENWOOD COMM.","1,010","SPRAY FEATURE","OUTDOOR","-87.59293373","41.80587085","2,893"
"POINT (-87.59354538990351 41.80530276904936)","382","KENWOOD COMM.","1,010","BASEBALL SR","OUTDOOR","-87.59354539","41.80530277","2,894"
"POINT (-87.5924117002081 41.805319756493745)","383","KENWOOD COMM.","1,010","BASEBALL SR","OUTDOOR","-87.5924117","41.80531976","2,895"
"POINT (-87.59214656392349 41.80578626102325)","384","KENWOOD COMM.","1,010","TENNIS COURT","OUTDOOR","-87.59214656","41.80578626","2,896"
"POINT (-87.59231783382539 41.80578074030448)","385","KENWOOD COMM.","1,010","TENNIS COURT","OUTDOOR","-87.59231783","41.80578074","2,897"
"POINT (-87.7272322521721 41.9115195738421)","386","KEYSTONE","1,116","PLAYGROUND","OUTDOOR","-87.72723225","41.91151957","2,898"
"POINT (-87.73854378588877 41.94387551016964)","387","KILBOURN","84","MINI-PITCH","OUTDOOR","-87.73854379","41.94387551","2,900"
"POINT (-87.73907897778028 41.94543749074606)","388","KILBOURN","84","BASKETBALL COURT","OUTDOOR","-87.73907898","41.94543749","2,901"
"POINT (-87.73852255544463 41.94320172000125)","389","KILBOURN","84","FOOTBALL/SOCCER COMBO FLD","OUTDOOR","-87.73852256","41.94320172","2,902"
"POINT (-87.73815973688333 41.94381768587292)","390","KILBOURN","84","COMMUNITY GARDEN","OUTDOOR","-87.73815974","41.94381769","2,903"
"POINT (-87.73862073289625 41.94470993630937)","391","KILBOURN","84","GYMNASIUM","INDOOR","-87.73862073","41.94470994","2,904"
"POINT (-87.73794202861967 41.94295520076458)","392","KILBOURN","84","BASEBALL JR/SOFTBALL","OUTDOOR","-87.73794203","41.9429552","2,905"
"POINT (-87.73910905749283 41.94489929807662)","393","KILBOURN","84","BASEBALL JR/SOFTBALL","OUTDOOR","-87.73910906","41.9448993","2,906"
"POINT (-87.73896596505898 41.94410273911029)","394","KILBOURN","84","PLAYGROUND","OUTDOOR","-87.73896597","41.94410274","2,907"
"POINT (-87.73910205939256 41.942951847875456)","395","KILBOURN","84","BASEBALL SR","OUTDOOR","-87.73910206","41.94295185","2,908"
"POINT (-87.73918210421752 41.94378553081852)","396","KILBOURN","84","TENNIS COURT","OUTDOOR","-87.7391821","41.94378553","2,909"
"POINT (-87.73884979123024 41.943783810657884)","397","KILBOURN","84","TENNIS COURT","OUTDOOR","-87.73884979","41.94378381","2,910"
"POINT (-87.73933889820285 41.94378166037187)","398","KILBOURN","84","TENNIS COURT","OUTDOOR","-87.7393389","41.94378166","2,911"
"POINT (-87.73901285587367 41.943779973124414)","399","KILBOURN","84","TENNIS COURT","OUTDOOR","-87.73901286","41.94377997","2,912"
"POINT (-87.65450419609287 41.75465177160329)","400","KING (MARTIN LUTHER, JR.)","334","PLAYGROUND","OUTDOOR","-87.6545042","41.75465177","2,913"
"POINT (-87.6543092592374 41.75438241765061)","401","KING (MARTIN LUTHER, JR.)","334","SPRAY FEATURE","OUTDOOR","-87.65430926","41.75438242","2,914"
"POINT (-87.712013530908 41.973562284617906)","402","KIWANIS","42","ARTIFICIAL TURF JR","OUTDOOR","-87.71200596","41.97348038","2,915"
"POINT (-87.67350443952894 41.94622101708305)","403","KLEIN (LOIS)","544","PLAYGROUND","OUTDOOR","-87.67350444","41.94622102","2,916"
"POINT (-87.74139846868009 41.95694782665264)","404","KOLMAR","85","BASEBALL JR/SOFTBALL","OUTDOOR","-87.74139847","41.95694783","2,917"
"POINT (-87.74150904428328 41.956399409293184)","405","KOLMAR","85","PLAYGROUND","OUTDOOR","-87.74150904","41.95639941","2,918"
"POINT (-87.68887738252235 41.99392328185901)","406","KORCZAK (JANUSZ)","1,090","PLAYGROUND","OUTDOOR","-87.68887738","41.99392328","2,919"
"POINT (-87.7238149344247 41.93040466646017)","407","KOSCIUSZKO (THADEUZ)","120","MINI-PITCH","OUTDOOR","-87.72381493","41.93040467","2,921"
"POINT (-87.72479247791225 41.9309416691996)","409","KOSCIUSZKO (THADEUZ)","120","FOOTBALL/SOCCER COMBO FLD","OUTDOOR","-87.72479248","41.93094167","2,923"
"POINT (-87.72382518595391 41.93090805102656)","410","KOSCIUSZKO (THADEUZ)","120","GYMNASIUM","INDOOR","-87.72382519","41.93090805","2,924"
"POINT (-87.72381597293452 41.93151141516496)","411","KOSCIUSZKO (THADEUZ)","120","POOL (INDOOR)","INDOOR","-87.72381597","41.93151142","2,925"
"POINT (-87.72525406250423 41.93127054347388)","412","KOSCIUSZKO (THADEUZ)","120","BASEBALL JR/SOFTBALL","OUTDOOR","-87.72525406","41.93127054","2,926"
"POINT (-87.72429642540217 41.93128129845281)","413","KOSCIUSZKO (THADEUZ)","120","BASEBALL JR/SOFTBALL","OUTDOOR","-87.72429643","41.9312813","2,927"
"POINT (-87.72524298640074 41.93057658091647)","414","KOSCIUSZKO (THADEUZ)","120","BASEBALL JR/SOFTBALL","OUTDOOR","-87.72524299","41.93057658","2,928"
"POINT (-87.72429966910336 41.93056894231471)","415","KOSCIUSZKO (THADEUZ)","120","BASEBALL JR/SOFTBALL","OUTDOOR","-87.72429967","41.93056894","2,929"
"POINT (-87.63856688046744 41.961592895972174)","416","LINCOLN (ABRAHAM)","100","HARBOR","OUTDOOR","-87.63856688","41.9615929","5,504"
"POINT (-87.63817579388032 41.944433528631016)","417","LINCOLN (ABRAHAM)","100","HARBOR","OUTDOOR","-87.63817579","41.94443353","5,505"
"POINT (-87.63381357383372 41.931474589460656)","418","LINCOLN (ABRAHAM)","100","HARBOR","OUTDOOR","-87.63381357","41.93147459","5,506"
"POINT (-87.64528023416433 41.96477306327641)","419","LINCOLN (ABRAHAM)","100","ARTIFICIAL TURF REG","OUTDOOR","-87.64527275","41.96469115","5,507"
"POINT (-87.72435953676951 41.93021835000765)","420","KOSCIUSZKO (THADEUZ)","120","PLAYGROUND","OUTDOOR","-87.72435954","41.93021835","2,930"
"POINT (-87.72409354966314 41.930322476179526)","421","KOSCIUSZKO (THADEUZ)","120","SPRAY FEATURE","OUTDOOR","-87.72409355","41.93032248","2,931"
"POINT (-87.72355298429274 41.930319606641724)","422","KOSCIUSZKO (THADEUZ)","120","TENNIS COURT","OUTDOOR","-87.72355298","41.93031961","2,932"
"POINT (-87.53675568231277 41.702906571779906)","423","KRAUSE (FRANCIS VERNON)","1,079","PLAYGROUND","OUTDOOR","-87.53675568","41.70290657","2,933"
"POINT (-87.53686304571022 41.7029108823053)","424","KRAUSE (FRANCIS VERNON)","1,079","SPRAY FEATURE","OUTDOOR","-87.53686305","41.70291088","2,934"
"POINT (-87.66655302208407 41.83302641084209)","425","KUCINSKI-MURPHY (VICKI, ROSEBETH)","1,062","PLAYGROUND","OUTDOOR","-87.66655302","41.83302641","2,935"
"POINT (-87.66629584101715 41.833107213029976)","426","KUCINSKI-MURPHY (VICKI, ROSEBETH)","1,062","SPRAY FEATURE","OUTDOOR","-87.66629584","41.83310721","2,936"
"POINT (-87.75416450097094 41.905608200270066)","427","LA FOLLETTE (ROBERT)","201","BASKETBALL COURT","OUTDOOR","-87.7541645","41.9056082","2,937"
"POINT (-87.75338543127364 41.90507518051382)","428","LA FOLLETTE (ROBERT)","201","ARTIFICIAL TURF REG","OUTDOOR","-87.75337781","41.90499327","2,938"
"POINT (-87.75505750430054 41.904855459989065)","429","LA FOLLETTE (ROBERT)","201","FITNESS CENTER","INDOOR","-87.7550575","41.90485546","2,939"
"POINT (-87.75509771915311 41.90504896526886)","430","LA FOLLETTE (ROBERT)","201","GYMNASIUM","INDOOR","-87.75509772","41.90504897","2,940"
"POINT (-87.75511789737469 41.905137881707844)","431","LA FOLLETTE (ROBERT)","201","POOL (INDOOR)","INDOOR","-87.7551179","41.90513788","2,941"
"POINT (-87.75130215791273 41.90457350979534)","432","LA FOLLETTE (ROBERT)","201","PLAYGROUND","OUTDOOR","-87.75130216","41.90457351","2,942"
"POINT (-87.75482991109635 41.90558274901482)","433","LA FOLLETTE (ROBERT)","201","PLAYGROUND","OUTDOOR","-87.75482991","41.90558275","2,943"
"POINT (-87.75442258560729 41.90436992405654)","434","LA FOLLETTE (ROBERT)","201","TENNIS COURT","OUTDOOR","-87.75442259","41.90436992","2,944"
"POINT (-87.7533720581035 41.90466477632178)","435","LA FOLLETTE (ROBERT)","201","TRACK","OUTDOOR","-87.75337206","41.90466478","2,947"
"POINT (-87.75158374026852 41.904469313411425)","436","LA FOLLETTE (ROBERT)","201","WATER PLAYGROUND","OUTDOOR","-87.75158374","41.90446931","2,948"
"POINT (-87.61248583133859 41.83750749687444)","437","LAKE MEADOWS","263","BASKETBALL COURT","OUTDOOR","-87.61248583","41.8375075","2,949"
"POINT (-87.61270818906029 41.83756662420316)","438","LAKE MEADOWS","263","BASKETBALL COURT","OUTDOOR","-87.61270819","41.83756662","2,950"
"POINT (-87.61156231504 41.83706867636269)","439","LAKE MEADOWS","263","FOOTBALL/SOCCER COMBO FLD","OUTDOOR","-87.61156232","41.83706868","2,951"
"POINT (-87.61189033260332 41.837449233884)","440","LAKE MEADOWS","263","BASEBALL JR/SOFTBALL","OUTDOOR","-87.61189033","41.83744923","2,952"
"POINT (-87.6114603592706 41.83792763160391)","441","LAKE MEADOWS","263","PLAYGROUND","OUTDOOR","-87.61146036","41.83792763","2,953"
"POINT (-87.61983990273623 41.89723193957217)","442","LAKE SHORE","107","TENNIS COURT","OUTDOOR","-87.6198399","41.89723194","2,954"
"POINT (-87.61999620900244 41.897228046129015)","443","LAKE SHORE","107","TENNIS COURT","OUTDOOR","-87.61999621","41.89722805","2,955"
"POINT (-87.6178350507796 41.897136041738214)","444","LAKE SHORE","107","FITNESS CENTER","INDOOR","-87.61783505","41.89713604","2,956"
"POINT (-87.61788462811307 41.897274818935024)","445","LAKE SHORE","107","GYMNASIUM","INDOOR","-87.61788463","41.89727482","2,957"
"POINT (-87.61853910454207 41.897107102217845)","446","LAKE SHORE","107","BASEBALL JR/SOFTBALL","OUTDOOR","-87.6185391","41.8971071","2,958"
"POINT (-87.6195843685862 41.897376286365116)","447","LAKE SHORE","107","BASEBALL JR/SOFTBALL","OUTDOOR","-87.61958437","41.89737629","2,959"
"POINT (-87.61785148481606 41.897462791962155)","448","LAKE SHORE","107","PLAYGROUND","OUTDOOR","-87.61785148","41.89746279","2,960"
"POINT (-87.61822932748575 41.897390049312364)","449","LAKE SHORE","107","TRACK","OUTDOOR","-87.61822933","41.89739005","2,961"
"POINT (-87.65771075001958 41.6960390179794)","450","LAMB (HAROLD)","446","BASKETBALL COURT","OUTDOOR","-87.65771075","41.69603902","2,962"
"POINT (-87.65730308420204 41.69619882843945)","451","LAMB (HAROLD)","446","PLAYGROUND","OUTDOOR","-87.65730308","41.69619883","2,963"
"POINT (-87.65424946466051 41.98975321843523)","452","LANE (GEORGE) BEACH","1,265","BEACH","OUTDOOR","-87.65424946","41.98975322","2,965"
"POINT (-87.65498908478895 41.98991047538984)","453","LANE (GEORGE) BEACH","1,265","PLAYGROUND","OUTDOOR","-87.65498908","41.98991048","2,966"
"POINT (-87.67487408617639 42.00188401188047)","454","LANGDON (MARY MARGARET)","1,077","PLAYGROUND","OUTDOOR","-87.67487409","42.00188401","2,967"
"POINT (-87.60555529603167 41.689641834180435)","455","LANGLEY","1,118","BASKETBALL COURT","OUTDOOR","-87.6055553","41.68964183","2,968"
"POINT (-87.60571308922593 41.689356146737424)","456","LANGLEY","1,118","PLAYGROUND","OUTDOOR","-87.60571309","41.68935615","2,969"
"POINT (-87.75235724788222 41.77677872347168)","464","LAWLER (MICHAEL)","1,011","PLAYGROUND","OUTDOOR","-87.75235725","41.77677872","2,977"
"POINT (-87.75238206211931 41.776588657148665)","465","LAWLER (MICHAEL)","1,011","SPRAY FEATURE","OUTDOOR","-87.75238206","41.77658866","2,978"
"POINT (-87.66319003470852 42.00417767382369)","466","LAZARUS (EMMA)","450","PLAYGROUND","OUTDOOR","-87.66319003","42.00417767","2,979"
"POINT (-87.74997677125765 41.81371680162387)","467","LE CLAIRE COURTS - HEARST COMM. CTR.","305","FOOTBALL/SOCCER COMBO FLD","OUTDOOR","-87.74997677","41.8137168","2,980"
"POINT (-87.74924595283441 41.81373226722453)","468","LE CLAIRE COURTS - HEARST COMM. CTR.","305","FOOTBALL/SOCCER COMBO FLD","OUTDOOR","-87.74924595","41.81373227","2,981"
"POINT (-87.75131339257902 41.81333519013584)","469","LE CLAIRE COURTS - HEARST COMM. CTR.","305","GYMNASIUM","INDOOR","-87.75131339","41.81333519","2,982"
"POINT (-87.75282046354084 41.81317628329898)","470","LE CLAIRE COURTS - HEARST COMM. CTR.","305","BASKETBALL COURT","OUTDOOR","-87.75282046","41.81317628","2,983"
"POINT (-87.75035532525618 41.81354971907765)","471","LE CLAIRE COURTS - HEARST COMM. CTR.","305","BASEBALL JR/SOFTBALL","OUTDOOR","-87.75035533","41.81354972","2,984"
"POINT (-87.74926630516985 41.81338786501621)","472","LE CLAIRE COURTS - HEARST COMM. CTR.","305","BASEBALL JR/SOFTBALL","OUTDOOR","-87.74926631","41.81338787","2,985"
"POINT (-87.75080610911772 41.812804591309266)","473","LE CLAIRE COURTS - HEARST COMM. CTR.","305","PLAYGROUND","OUTDOOR","-87.75080611","41.81280459","2,986"
"POINT (-87.75229104065306 41.81323222766029)","474","LE CLAIRE COURTS - HEARST COMM. CTR.","305","TENNIS COURT","OUTDOOR","-87.75229104","41.81323223","2,987"
"POINT (-87.7521147420052 41.81323133576212)","475","LE CLAIRE COURTS - HEARST COMM. CTR.","305","TENNIS COURT","OUTDOOR","-87.75211474","41.81323134","2,988"
"POINT (-87.71446370138752 41.73526552004364)","476","LEE (JOHN)","1,286","PLAYGROUND","OUTDOOR","-87.7144637","41.73526552","2,989"
"POINT (-87.70819826964502 41.98905745066383)","477","LEGION","274","BASKETBALL COURT","OUTDOOR","-87.70819827","41.98905745","2,990"
"POINT (-87.70795351815076 41.98909325958032)","478","LEGION","274","BASKETBALL COURT","OUTDOOR","-87.70795352","41.98909326","2,991"
"POINT (-87.707924096146 41.98411082826368)","479","LEGION","274","FOOTBALL/SOCCER COMBO FLD","OUTDOOR","-87.7079241","41.98411083","2,992"
"POINT (-87.70589969063636 41.98210396254836)","480","LEGION","274","FOOTBALL/SOCCER COMBO FLD","OUTDOOR","-87.70589969","41.98210396","2,993"
"POINT (-87.70599115647228 41.981641521051685)","481","LEGION","274","BASEBALL JR/SOFTBALL","OUTDOOR","-87.70599116","41.98164152","2,994"
"POINT (-87.70630352446233 41.98260366395277)","482","LEGION","274","BASEBALL JR/SOFTBALL","OUTDOOR","-87.70630352","41.98260366","2,995"
"POINT (-87.70538422027391 41.98113769339254)","483","LEGION","274","PLAYGROUND","OUTDOOR","-87.70538422","41.98113769","2,996"
"POINT (-87.70667367236742 41.98460772164862)","484","LEGION","274","PLAYGROUND","OUTDOOR","-87.70667367","41.98460772","2,997"
"POINT (-87.70830512889056 41.98510359846737)","485","LEGION","274","PLAYGROUND","OUTDOOR","-87.70830513","41.9851036","2,998"
"POINT (-87.70791321919516 41.9885865603839)","486","LEGION","274","PLAYGROUND","OUTDOOR","-87.70791322","41.98858656","2,999"
"POINT (-87.70514185234752 41.98026795229568)","487","LEGION","274","SPORT ROLLER COURT","OUTDOOR","-87.70514185","41.98026795","3,000"
"POINT (-87.7091024140217 41.98816848028458)","488","LEGION","274","TENNIS COURT","OUTDOOR","-87.70910241","41.98816848","3,001"
"POINT (-87.7092660215034 41.98812540604664)","489","LEGION","274","TENNIS COURT","OUTDOOR","-87.70926602","41.98812541","3,002"
"POINT (-87.6408523233751 41.75693859802839)","490","LELAND GIANTS","395","BASKETBALL COURT","OUTDOOR","-87.64085232","41.7569386","3,003"
"POINT (-87.64139939274028 41.75745080790083)","491","LELAND GIANTS","395","PLAYGROUND","OUTDOOR","-87.64139939","41.75745081","3,004"
"POINT (-87.66156823557662 42.013133862491706)","492","LEONE (SAM) BEACH","1,013","BEACH","OUTDOOR","-87.66156824","42.01313386","3,005"
"POINT (-87.66253502099038 42.0131642905361)","493","LEONE (SAM) BEACH","1,013","GYMNASIUM","INDOOR","-87.66253502","42.01316429","3,006"
"POINT (-87.66316226323218 42.01318997713921)","494","LEONE (SAM) BEACH","1,013","PLAYGROUND","OUTDOOR","-87.66316226","42.01318998","3,007"
"POINT (-87.7053199378881 42.007385977982956)","495","LERNER (LEO)","273","BASKETBALL COURT","OUTDOOR","-87.70531994","42.00738598","3,008"
"POINT (-87.70502059336722 42.00737958885555)","496","LERNER (LEO)","273","BASKETBALL COURT","OUTDOOR","-87.70502059","42.00737959","3,009"
"POINT (-87.70521962028091 42.0078700481523)","497","LERNER (LEO)","273","PLAYGROUND","OUTDOOR","-87.70521962","42.00787005","3,010"
"POINT (-87.70500803555824 42.00703743642336)","498","LERNER (LEO)","273","TENNIS COURT","OUTDOOR","-87.70500804","42.00703744","3,011"
"POINT (-87.70484239236484 42.00703890465777)","499","LERNER (LEO)","273","TENNIS COURT","OUTDOOR","-87.70484239","42.0070389","3,012"
"POINT (-87.76250322411056 41.88818317671676)","500","LEVIN (JOHN)","1,220","BASKETBALL COURT","OUTDOOR","-87.76250322","41.88818318","3,013"
"POINT (-87.76100238332747 41.88854970583537)","501","LEVIN (JOHN)","1,220","BASEBALL JR/SOFTBALL","OUTDOOR","-87.76100238","41.88854971","3,014"
"POINT (-87.76250044960436 41.88849482879291)","502","LEVIN (JOHN)","1,220","PLAYGROUND","OUTDOOR","-87.76250045","41.88849483","3,015"
"POINT (-87.76194100837702 41.88842080884887)","503","LEVIN (JOHN)","1,220","SPRAY FEATURE","OUTDOOR","-87.76194101","41.88842081","3,016"
"POINT (-87.6397593993084 41.76241685094914)","504","LILY GARDENS","1,218","PLAYGROUND","OUTDOOR","-87.6397594","41.76241685","3,017"
"POINT (-87.71159618442856 41.84750178742679)","505","LIMAS (JULIANN HOPE)","1,066","PLAYGROUND","OUTDOOR","-87.71159618","41.84750179","3,018"
"POINT (-87.71146769374168 41.8476514056467)","506","LIMAS (JULIANN HOPE)","1,066","SPRAY FEATURE","OUTDOOR","-87.71146769","41.84765141","3,019"
"POINT (-87.6269017715887 41.858050743838376)","507","LIN (MARGARET HIE DING)","360","BASKETBALL COURT","OUTDOOR","-87.62690177","41.85805074","3,020"
"POINT (-87.63269442281938 41.934107179729985)","508","LINCOLN (ABRAHAM)","100","TENNIS COURT","OUTDOOR","-87.63269442","41.93410718","3,021"
"POINT (-87.63411415516154 41.92525447571636)","509","LINCOLN (ABRAHAM)","100","ALFRED CALDWELL LILY POND","SPECIAL","-87.63411416","41.92525448","3,022"
"POINT (-87.64510027209063 41.96359407960714)","510","LINCOLN (ABRAHAM)","100","ARTIFICIAL TURF REG","OUTDOOR","-87.64509279","41.96351217","3,023"
"POINT (-87.64863183433147 41.9757967349526)","511","LINCOLN (ABRAHAM)","100","ARTIFICIAL TURF REG","OUTDOOR","-87.64862434","41.97571482","3,024"
"POINT (-87.62912137391166 41.915823642080575)","512","LINCOLN (ABRAHAM)","100","ARTIFICIAL TURF JR","OUTDOOR","-87.62911391","41.91574173","3,025"
"POINT (-87.64800059620626 41.97576946351261)","513","LINCOLN (ABRAHAM)","100","ARTIFICIAL TURF JR","OUTDOOR","-87.6479931","41.97568755","3,026"
"POINT (-87.65005617859859 41.97774937947618)","514","LINCOLN (ABRAHAM)","100","BASKETBALL COURT","OUTDOOR","-87.65005618","41.97774938","3,027"
"POINT (-87.63008249377667 41.91597634926306)","515","LINCOLN (ABRAHAM)","100","BASKETBALL COURT","OUTDOOR","-87.63008249","41.91597635","3,028"
"POINT (-87.61298549922797 41.89343568978286)","516","LINCOLN (ABRAHAM)","100","BEACH","OUTDOOR","-87.6129855","41.89343569","3,029"
"POINT (-87.62474971372217 41.91448425762321)","517","LINCOLN (ABRAHAM)","100","BEACH","OUTDOOR","-87.62474971","41.91448426","3,030"
"POINT (-87.63587301656811 41.9654983132016)","518","LINCOLN (ABRAHAM)","100","BEACH","OUTDOOR","-87.63587302","41.96549831","3,031"
"POINT (-87.64944622891089 41.97847337980213)","519","LINCOLN (ABRAHAM)","100","BEACH","OUTDOOR","-87.64944623","41.97847338","3,032"
"POINT (-87.6517416346087 41.98602593303344)","520","LINCOLN (ABRAHAM)","100","BEACH","OUTDOOR","-87.65174163","41.98602593","3,033"
"POINT (-87.62279355071621 41.902890037424356)","521","LINCOLN (ABRAHAM)","100","BEACH","OUTDOOR","-87.62279355","41.90289004","3,034"
"POINT (-87.63287269843845 41.926608644204364)","522","LINCOLN (ABRAHAM)","100","BOAT LAUNCH MOTORIZED","OUTDOOR","-87.6328727","41.92660864","3,035"
"POINT (-87.63504008508065 41.93082710750669)","523","LINCOLN (ABRAHAM)","100","BOAT LAUNCH MOTORIZED","OUTDOOR","-87.63504009","41.93082711","3,036"
"POINT (-87.6333669444093 41.919240892822195)","524","LINCOLN (ABRAHAM)","100","CASTING PIER","OUTDOOR","-87.63336694","41.91924089","3,037"
"POINT (-87.64359119099166 41.96501740915423)","525","LINCOLN (ABRAHAM)","100","FOOTBALL/SOCCER COMBO FLD","OUTDOOR","-87.64359119","41.96501741","3,038"
"POINT (-87.64440995618997 41.96473188240224)","526","LINCOLN (ABRAHAM)","100","FOOTBALL/SOCCER COMBO FLD","OUTDOOR","-87.64440996","41.96473188","3,039"
"POINT (-87.62890447239948 41.914073115698066)","527","LINCOLN (ABRAHAM)","100","FOOTBALL/SOCCER COMBO FLD","OUTDOOR","-87.62890447","41.91407312","3,040"
"POINT (-87.64253932520239 41.95155100239589)","528","LINCOLN (ABRAHAM)","100","FOOTBALL/SOCCER COMBO FLD","OUTDOOR","-87.64253933","41.951551","3,041"
"POINT (-87.63529868917675 41.9243687430063)","529","LINCOLN (ABRAHAM)","100","CONSERVATORY","SPECIAL","-87.63529869","41.92436874","3,042"
"POINT (-87.64913847914598 41.96996592697372)","530","LINCOLN (ABRAHAM)","100","DOG FRIENDLY AREA","OUTDOOR","-87.64913848","41.96996593","3,043"
"POINT (-87.64304350278763 41.96887387128841)","531","LINCOLN (ABRAHAM)","100","DOG FRIENDLY AREA","OUTDOOR","-87.6430435","41.96887387","3,044"
"POINT (-87.6351934814854 41.92276161805728)","532","LINCOLN (ABRAHAM)","100","GARDEN","OUTDOOR","-87.63519348","41.92276162","3,045"
"POINT (-87.64120612899055 41.95226692433669)","533","LINCOLN (ABRAHAM)","100","GOLF COURSE","OUTDOOR","-87.64120613","41.95226692","3,046"
"POINT (-87.63471095163368 41.934113616079046)","534","LINCOLN (ABRAHAM)","100","GOLF DRIVING RANGE","OUTDOOR","-87.63471095","41.93411362","3,047"
"POINT (-87.62837111517366 41.91330046373721)","535","LINCOLN (ABRAHAM)","100","BASEBALL JR/SOFTBALL","OUTDOOR","-87.62837112","41.91330046","3,048"
"POINT (-87.62807568075198 41.91404330324147)","536","LINCOLN (ABRAHAM)","100","BASEBALL JR/SOFTBALL","OUTDOOR","-87.62807568","41.9140433","3,049"
"POINT (-87.62971477738672 41.91404073799042)","537","LINCOLN (ABRAHAM)","100","BASEBALL JR/SOFTBALL","OUTDOOR","-87.62971478","41.91404074","3,050"
"POINT (-87.62823631094837 41.91480156510431)","538","LINCOLN (ABRAHAM)","100","BASEBALL JR/SOFTBALL","OUTDOOR","-87.62823631","41.91480157","3,051"
"POINT (-87.62941783069532 41.91492240505882)","539","LINCOLN (ABRAHAM)","100","BASEBALL JR/SOFTBALL","OUTDOOR","-87.62941783","41.91492241","3,052"
"POINT (-87.64309426201328 41.951002663059334)","540","LINCOLN (ABRAHAM)","100","BASEBALL JR/SOFTBALL","OUTDOOR","-87.64309426","41.95100266","3,053"
"POINT (-87.6418002490976 41.951152096208766)","541","LINCOLN (ABRAHAM)","100","BASEBALL JR/SOFTBALL","OUTDOOR","-87.64180025","41.9511521","3,054"
"POINT (-87.64216254534347 41.952176210390874)","542","LINCOLN (ABRAHAM)","100","BASEBALL JR/SOFTBALL","OUTDOOR","-87.64216255","41.95217621","3,055"
"POINT (-87.64344877833612 41.951862359606736)","543","LINCOLN (ABRAHAM)","100","BASEBALL JR/SOFTBALL","OUTDOOR","-87.64344878","41.95186236","3,056"
"POINT (-87.6468499123742 41.96751006218056)","544","LINCOLN (ABRAHAM)","100","BASEBALL JR/SOFTBALL","OUTDOOR","-87.64684991","41.96751006","3,057"
"POINT (-87.6453777733328 41.967979595457194)","545","LINCOLN (ABRAHAM)","100","BASEBALL JR/SOFTBALL","OUTDOOR","-87.64537777","41.9679796","3,058"
"POINT (-87.64575752586333 41.96842832556303)","546","LINCOLN (ABRAHAM)","100","BASEBALL JR/SOFTBALL","OUTDOOR","-87.64575753","41.96842833","3,059"
"POINT (-87.6461206436368 41.96910018276894)","547","LINCOLN (ABRAHAM)","100","BASEBALL JR/SOFTBALL","OUTDOOR","-87.64612064","41.96910018","3,060"
"POINT (-87.6468030747711 41.96789245804632)","548","LINCOLN (ABRAHAM)","100","BASEBALL JR/SOFTBALL","OUTDOOR","-87.64680307","41.96789246","3,061"
"POINT (-87.64997548078466 41.973175165632796)","549","LINCOLN (ABRAHAM)","100","BASEBALL JR/SOFTBALL","OUTDOOR","-87.64997548","41.97317517","3,062"
"POINT (-87.63450883737467 41.93390839245558)","550","LINCOLN (ABRAHAM)","100","GOLF PUTTING GREEN","OUTDOOR","-87.63450884","41.93390839","3,063"
"POINT (-87.63599664956243 41.92088324297315)","551","LINCOLN (ABRAHAM)","100","PLAYGROUND","OUTDOOR","-87.63599665","41.92088324","3,064"
"POINT (-87.63804094889416 41.93005570079118)","552","LINCOLN (ABRAHAM)","100","PLAYGROUND","OUTDOOR","-87.63804095","41.9300557","3,065"
"POINT (-87.63687191680077 41.93817393683071)","553","LINCOLN (ABRAHAM)","100","PLAYGROUND","OUTDOOR","-87.63687192","41.93817394","3,066"
"POINT (-87.64389513308642 41.95326215765945)","554","LINCOLN (ABRAHAM)","100","PLAYGROUND","OUTDOOR","-87.64389513","41.95326216","3,067"
"POINT (-87.6459030096839 41.96345946971495)","555","LINCOLN (ABRAHAM)","100","PLAYGROUND","OUTDOOR","-87.64590301","41.96345947","3,068"
"POINT (-87.64681750021218 41.97052875731099)","556","LINCOLN (ABRAHAM)","100","PLAYGROUND","OUTDOOR","-87.6468175","41.97052876","3,069"
"POINT (-87.64959655716409 41.972639844200344)","557","LINCOLN (ABRAHAM)","100","PLAYGROUND","OUTDOOR","-87.64959656","41.97263984","3,070"
"POINT (-87.65358749581353 41.984788649930145)","558","LINCOLN (ABRAHAM)","100","PLAYGROUND","OUTDOOR","-87.6535875","41.98478865","3,071"
"POINT (-87.63411230073827 41.934072853938424)","559","LINCOLN (ABRAHAM)","100","PLAYGROUND","OUTDOOR","-87.6341123","41.93407285","3,072"
